year,month,rw,female,wbho,married,age,age_dec
2019,3,NA,1,0,1,46,4.6
2019,3,NA,0,0,1,50,5
2019,3,NA,0,0,1,42,4.2
2019,3,17.5,1,0,1,45,4.5
2019,3,11,0,0,0,18,1.8
2019,3,NA,0,0,0,17,1.7
2019,3,NA,0,0,0,44,4.4
2019,3,16.5,1,0,0,52,5.2
2019,3,NA,1,0,0,18,1.8
2019,3,NA,0,0,1,61,6.1
2019,3,19,1,0,1,55,5.5
2019,3,17.5,1,0,0,60,6
2019,3,36.80550003051758,1,0,1,50,5
2019,3,32.220001220703125,0,0,1,51,5.1
2019,3,NA,1,0,0,16,1.6
2019,3,NA,0,0,1,63,6.3
2019,3,13.420000076293945,1,0,0,45,4.5
2019,3,27.5,0,0,0,55,5.5
2019,3,10,1,0,0,17,1.7
2019,3,15,0,0,0,24,2.4
2019,3,NA,0,0,0,52,5.2
2019,3,12,0,0,0,19,1.9
2019,3,NA,1,1,0,60,6
2019,3,13,1,0,1,62,6.2
2019,3,12.59000015258789,1,0,0,28,2.8
2019,3,15.399999618530273,0,0,0,25,2.5
2019,3,64.5999984741211,1,0,1,61,6.1
2019,3,NA,0,0,0,31,3.1
2019,3,NA,1,0,1,62,6.2
2019,3,NA,0,0,1,62,6.2
2019,3,19.389999389648438,0,0,1,63,6.3
2019,3,20.739999771118164,1,0,1,61,6.1
2019,3,20.174999237060547,1,0,0,30,3
2019,3,23,1,0,1,45,4.5
2019,3,NA,0,0,1,47,4.7
2019,3,NA,0,0,1,48,4.8
2019,3,48.4375,1,0,0,38,3.8
2019,3,NA,0,0,0,47,4.7
2019,3,12,1,0,1,58,5.8
2019,3,19.225000381469727,1,1,0,33,3.3
2019,3,NA,1,0,1,41,4.1
2019,3,NA,0,1,1,34,3.4
2019,3,NA,0,0,0,18,1.8
2019,3,NA,1,0,0,40,4
2019,3,30.76919937133789,0,0,0,33,3.3
2019,3,NA,0,0,0,37,3.7
2019,3,NA,1,0,0,44,4.4
2019,3,75.090911865234375,0,0,0,45,4.5
2019,3,NA,1,0,1,63,6.3
2019,3,21.2020206451416,0,0,1,60,6
2019,3,15,1,0,1,56,5.6
2019,3,30,0,0,1,59,5.9
2019,3,42.22972869873047,1,0,1,61,6.1
2019,3,NA,1,1,1,64,6.4
2019,3,50.5,0,0,0,60,6
2019,3,14.5,0,0,0,27,2.7
2019,3,NA,1,0,1,63,6.3
2019,3,NA,0,0,1,49,4.9
2019,3,13.420000076293945,1,0,1,47,4.7
2019,3,NA,0,0,0,18,1.8
2019,3,NA,1,0,1,61,6.1
2019,3,NA,0,0,1,61,6.1
2019,3,NA,1,0,0,58,5.8
2019,3,11,0,0,0,62,6.2
2019,3,20.604286193847656,0,0,1,51,5.1
2019,3,18.75,1,0,1,52,5.2
2019,3,18.31999969482422,1,0,0,61,6.1
2019,3,NA,0,0,1,59,5.9
2019,3,NA,1,0,1,58,5.8
2019,3,18,0,0,1,53,5.3
2019,3,20,1,0,1,48,4.8
2019,3,20.75,1,0,1,52,5.2
2019,3,18,1,1,0,52,5.2
2019,3,18,0,0,1,51,5.1
2019,3,15.75,1,0,1,52,5.2
2019,3,13.529999732971191,1,0,1,61,6.1
2019,3,50,0,0,1,51,5.1
2019,3,13.526315689086914,1,0,0,58,5.8
2019,3,NA,1,0,1,46,4.6
2019,3,19.659090042114258,0,0,1,44,4.4
2019,3,NA,1,0,0,19,1.9
2019,3,NA,0,0,0,20,2
2019,3,NA,1,0,1,58,5.8
2019,3,89.75,0,0,1,59,5.9
2019,3,NA,0,0,0,44,4.4
2019,3,21.25,1,0,0,39,3.9
2019,3,12,0,0,0,17,1.7
2019,3,12,1,0,0,17,1.7
2019,3,7.5,1,0,0,57,5.7
2019,3,32.05116653442383,0,0,1,63,6.3
2019,3,12.5,0,0,0,25,2.5
2019,3,NA,1,0,0,23,2.3
2019,3,18,0,0,1,38,3.8
2019,3,23,1,0,1,38,3.8
2019,3,14.25,1,0,0,25,2.5
2019,3,NA,0,0,0,33,3.3
2019,3,43.16222381591797,1,0,1,56,5.6
2019,3,30,0,0,1,57,5.7
2019,3,23.159090042114258,1,0,0,61,6.1
2019,3,NA,1,0,1,31,3.1
2019,3,82.5999984741211,0,0,1,32,3.2
2019,3,NA,1,0,0,23,2.3
2019,3,5,0,0,0,39,3.9
2019,3,20.75,1,0,1,52,5.2
2019,3,29.5,0,0,1,57,5.7
2019,3,8,1,0,0,21,2.1
2019,3,11,1,0,0,38,3.8
2019,3,12,0,0,0,52,5.2
2019,3,30,1,0,0,52,5.2
2019,3,31.730749130249023,1,0,1,28,2.8
2019,3,42.30750274658203,0,0,1,30,3
2019,3,28,1,0,1,64,6.4
2019,3,15.720000267028809,1,0,1,64,6.4
2019,3,53.75863265991211,0,0,1,60,6
2019,3,18.5,1,1,1,57,5.7
2019,3,19.489999771118164,1,0,0,35,3.5
2019,3,NA,0,0,1,61,6.1
2019,3,NA,1,0,1,54,5.4
2019,3,NA,1,0,0,21,2.1
2019,3,34.220001220703125,0,1,0,38,3.8
2019,3,22,1,0,0,51,5.1
2019,3,14.399999618530273,1,0,0,24,2.4
2019,3,NA,0,0,0,17,1.7
2019,3,NA,0,0,0,58,5.8
2019,3,82.5999984741211,0,0,0,63,6.3
2019,3,15,0,0,1,63,6.3
2019,3,NA,0,1,1,45,4.5
2019,3,NA,1,1,1,36,3.6
2019,3,NA,1,0,0,53,5.3
2019,3,13,0,0,0,24,2.4
2019,3,11,0,1,1,51,5.1
2019,3,NA,1,1,1,45,4.5
2019,3,NA,1,1,0,18,1.8
2019,3,NA,1,1,0,16,1.6
2019,3,12,0,0,0,20,2
2019,3,12.5,1,0,0,56,5.6
2019,3,NA,1,1,0,41,4.1
2019,3,NA,0,0,0,31,3.1
2019,3,13.010000228881836,1,0,1,27,2.7
2019,3,15.384599685668945,0,0,1,28,2.8
2019,3,40,0,0,1,56,5.6
2019,3,13,1,1,1,33,3.3
2019,3,18.5,1,0,1,42,4.2
2019,3,NA,1,0,0,16,1.6
2019,3,18,0,0,0,21,2.1
2019,3,25,0,0,1,42,4.2
2019,3,25.939069747924805,0,0,0,30,3
2019,3,24.47545623779297,1,0,0,36,3.6
2019,3,7,1,1,0,58,5.8
2019,3,NA,0,0,0,64,6.4
2019,3,NA,1,0,1,64,6.4
2019,3,27.582284927368164,0,0,1,39,3.9
2019,3,18.314998626708984,1,0,1,29,2.9
2019,3,NA,1,0,1,33,3.3
2019,3,NA,0,0,1,47,4.7
2019,3,NA,1,0,1,63,6.3
2019,3,37.5,0,0,1,37,3.7
2019,3,41,1,0,1,36,3.6
2019,3,27.125,1,1,1,49,4.9
2019,3,NA,0,1,1,55,5.5
2019,3,NA,0,0,1,47,4.7
2019,3,11.962499618530273,1,0,1,35,3.5
2019,3,20,0,0,0,55,5.5
2019,3,18,1,0,0,50,5
2019,3,NA,1,0,0,17,1.7
2019,3,NA,0,0,1,53,5.3
2019,3,NA,1,1,1,46,4.6
2019,3,22.649555206298828,0,0,1,30,3
2019,3,17.0939998626709,1,0,1,33,3.3
2019,3,NA,0,0,1,49,4.9
2019,3,NA,1,0,1,49,4.9
2019,3,NA,1,0,0,21,2.1
2019,3,NA,1,0,0,19,1.9
2019,3,NA,1,0,0,17,1.7
2019,3,51.875,0,0,1,46,4.6
2019,3,16.825000762939453,1,0,1,46,4.6
2019,3,NA,0,0,0,17,1.7
2019,3,NA,0,0,1,59,5.9
2019,3,NA,1,0,1,56,5.6
2019,3,21,0,0,1,63,6.3
2019,3,22,0,0,0,29,2.9
2019,3,NA,0,0,1,57,5.7
2019,3,NA,1,0,1,56,5.6
2019,3,NA,0,0,0,21,2.1
2019,3,15,1,0,1,49,4.9
2019,3,52.884498596191406,0,0,1,49,4.9
2019,3,NA,0,0,0,19,1.9
2019,3,NA,1,0,0,19,1.9
2019,3,NA,0,0,0,34,3.4
2019,3,NA,0,0,1,52,5.2
2019,3,23.076749801635742,1,0,1,57,5.7
2019,3,19.038249969482422,0,0,0,27,2.7
2019,3,103.25,0,0,1,52,5.2
2019,3,48.07674789428711,1,0,1,51,5.1
2019,3,53.84600067138672,0,0,1,36,3.6
2019,3,NA,1,0,1,35,3.5
2019,3,14.449999809265137,0,0,0,53,5.3
2019,3,29,0,0,1,51,5.1
2019,3,25,1,0,1,47,4.7
2019,3,11,0,0,0,19,1.9
2019,3,NA,1,1,1,52,5.2
2019,3,NA,0,0,1,55,5.5
2019,3,9.478333473205566,1,0,1,37,3.7
2019,3,23,0,0,1,43,4.3
2019,3,NA,0,1,0,24,2.4
2019,3,NA,1,0,0,42,4.2
2019,3,NA,0,0,1,64,6.4
2019,3,25,1,0,1,60,6
2019,3,10.5,0,1,0,29,2.9
2019,3,27,1,0,1,58,5.8
2019,3,63.53845977783203,0,0,1,60,6
2019,3,30,1,0,0,62,6.2
2019,3,13.5,0,1,0,20,2
2019,3,103.25,0,0,1,37,3.7
2019,3,72,1,0,1,35,3.5
2019,3,10.5,1,0,0,37,3.7
2019,3,10.5,0,0,0,18,1.8
2019,3,33.88261795043945,0,0,1,36,3.6
2019,3,NA,1,0,1,38,3.8
2019,3,82.5999984741211,0,1,0,56,5.6
2019,3,18,0,1,1,28,2.8
2019,3,NA,1,0,1,23,2.3
2019,3,NA,1,1,0,47,4.7
2019,3,5,1,0,1,54,5.4
2019,3,NA,0,0,1,60,6
2019,3,9,1,0,0,21,2.1
2019,3,15,0,0,0,25,2.5
2019,3,11,1,0,0,24,2.4
2019,3,10,1,0,1,54,5.4
2019,3,78,0,0,1,56,5.6
2019,3,NA,0,0,0,21,2.1
2019,3,NA,0,0,0,49,4.9
2019,3,32.400001525878906,1,0,0,58,5.8
2019,3,103.25,0,0,1,45,4.5
2019,3,40.849998474121094,1,1,1,44,4.4
2019,3,29.487165451049805,0,0,1,33,3.3
2019,3,41.66666793823242,1,0,1,30,3
2019,3,8.75,0,0,0,52,5.2
2019,3,17,1,0,0,46,4.6
2019,3,24.760000228881836,1,0,1,48,4.8
2019,3,30,0,0,1,50,5
2019,3,NA,0,0,0,62,6.2
2019,3,NA,0,0,0,52,5.2
2019,3,57.689998626708984,0,0,1,55,5.5
2019,3,36.25714111328125,1,0,1,55,5.5
2019,3,10,1,0,0,27,2.7
2019,3,15,1,0,0,21,2.1
2019,3,15,1,0,0,18,1.8
2019,3,NA,0,0,0,62,6.2
2019,3,31.75,0,0,1,30,3
2019,3,3.25,1,0,1,33,3.3
2019,3,17.25,0,0,1,57,5.7
2019,3,NA,1,0,1,56,5.6
2019,3,NA,0,0,1,56,5.6
2019,3,NA,0,0,1,59,5.9
2019,3,10,1,0,1,54,5.4
2019,3,38.46149826049805,0,0,1,57,5.7
2019,3,17.567501068115234,1,0,1,57,5.7
2019,3,NA,0,0,1,61,6.1
2019,3,15.34000015258789,1,0,1,58,5.8
2019,3,NA,0,0,0,51,5.1
2019,3,17.010000228881836,1,0,0,45,4.5
2019,3,NA,1,0,1,49,4.9
2019,3,NA,0,0,1,52,5.2
2019,3,30.73525047302246,1,0,1,33,3.3
2019,3,47.11524963378906,0,0,1,31,3.1
2019,3,17,0,0,0,59,5.9
2019,3,14,0,0,0,19,1.9
2019,3,14,1,0,1,31,3.1
2019,3,43.25,0,0,1,32,3.2
2019,3,51.28199768066406,0,0,1,38,3.8
2019,3,42.734886169433594,1,0,1,39,3.9
2019,3,15.369999885559082,1,0,0,50,5
2019,3,NA,0,0,0,17,1.7
2019,3,NA,1,0,0,16,1.6
2019,3,26.92300033569336,0,0,0,25,2.5
2019,3,21.2549991607666,1,0,0,24,2.4
2019,3,34,1,0,1,49,4.9
2019,3,68.83333587646484,0,0,1,50,5
2019,3,33.01697540283203,1,0,0,59,5.9
2019,3,NA,1,0,0,42,4.2
2019,3,19.649999618530273,0,0,1,41,4.1
2019,3,NA,0,0,0,16,1.6
2019,3,NA,0,0,1,53,5.3
2019,3,39.5,1,0,1,50,5
2019,3,NA,0,0,0,21,2.1
2019,3,NA,0,0,0,18,1.8
2019,3,96.9000015258789,1,0,0,56,5.6
2019,3,38.46149826049805,1,0,1,40,4
2019,3,16,0,0,1,38,3.8
2019,3,NA,1,1,1,35,3.5
2019,3,NA,0,1,0,16,1.6
2019,3,25,0,0,0,64,6.4
2019,3,41.22428512573242,1,0,0,62,6.2
2019,3,32.5,0,0,1,59,5.9
2019,3,16,1,0,1,59,5.9
2019,3,15,1,0,1,44,4.4
2019,3,40,0,0,1,45,4.5
2019,3,18.25,0,0,0,31,3.1
2019,3,12.975000381469727,0,0,1,30,3
2019,3,NA,1,0,1,30,3
2019,3,42,0,0,0,62,6.2
2019,3,NA,1,0,0,62,6.2
2019,3,32,0,0,0,26,2.6
2019,3,19.225000381469727,0,0,0,60,6
2019,3,50,0,0,0,34,3.4
2019,3,19,1,0,0,24,2.4
2019,3,25.899999618530273,0,0,0,19,1.9
2019,3,34.125,0,0,1,52,5.2
2019,3,NA,1,0,1,50,5
2019,3,NA,1,0,0,17,1.7
2019,3,23,1,0,1,50,5
2019,3,27,0,0,1,50,5
2019,3,14.5,0,0,0,20,2
2019,3,13.699999809265137,1,0,0,20,2
2019,3,43.41999816894531,0,0,1,47,4.7
2019,3,45,1,0,1,43,4.3
2019,3,NA,0,0,1,57,5.7
2019,3,36,1,0,0,57,5.7
2019,3,NA,1,0,0,17,1.7
2019,3,NA,0,0,0,48,4.8
2019,3,21,1,1,0,34,3.4
2019,3,10,1,1,0,17,1.7
2019,3,86.133331298828125,1,0,1,46,4.6
